product_category_name_english,review_comment_title,review_comment_message
bed_bath_table,Entrega ok produto errado,"Adquiri a cortina pois gostei dos detalhes e preço e preço, mas a cortina chegou com a cor muito diferente da imagem, e sem os detalhes. Apesar de ser bonita, não a instalei, e não sei se vou ficar. "
luggage_accessories,Perfeito !!,Muito feliz com a compra. 
housewares,O produto enviado eh ,"O produto enviado não condiz com a descrição.
No nome do produto informa que eh porta shampoo rádio relógio, logo entende- se que possui o recurso ( radio e relogio) e não verdade eh um adesivo"
auto,pesqusar antes de comprar,O produto não deu certo no meu veiculo por isso que estou devolvendo 
sports_leisure,Excelente,"Loja que respeita o consumidor. Produto entregue dentro do prazo, em perfeito estado."
industry_commerce_and_business,Produto Incompleto,"Boa tarde,
Faltaram pecinhas para a montagem das araras. Conclusão, elas não param em pé. Já abri um chamado.
Obrigada!"
industry_commerce_and_business,nao recomendo,"Bom dia,gostaria de saber porque meu pedido veio errado e porque eu pedi a troca e vcs me mandaram errado de novo,pois pedi uma arara cromada vcs me mandaram em branco fiz a troca e vcs me mandaram br"
industry_commerce_and_business,BOA COMPRA,TUDO OK
industry_commerce_and_business,Recomendo,Tudo certo com o produto! Recebi antes do prazo estabelecido e o produto está em conformidade com o anúncio!
industry_commerce_and_business,Ótimo. ,Chegou no prazo. 
health_beauty,Recomendo,"Apesar da paralisação dos caminhoneiros no final de maio, o produto chegou no final do prazo sugerido no sistema. Foram bem atenciosos no sistema de SAC quando perguntei com relação ao envio."
health_beauty,Produto com defeito,produto com defeito
health_beauty,Arrependimento ,Não deveria ter comprado 
health_beauty,Aparelho muito bom,Aaprelho atende expectativa para auxiliar no tratamento com fisioterapia.
toys,excelente,excelente
toys,qualidade discutivel,"A qualidade do produto é discutível, mas pelo preço até que dá para encarar."
home_appliances,Entrega no prazo ,Só não Gostei do sistema de Rastreamento antes você via a todo instante e agora só atualiza depois das 18:30 
fashion_bags_accessories,Excelênte,"O produto chegou até antes do prazo,estou satisfeitissímo.Obrigado,continuem assim,tenho certeza que conquistarão mais e mais clientes.Muito obrigado pela atenção."
computers_accessories,nnnnn,gfhhhhhhhhhh
bed_bath_table,Entrega,A entrega ocorreu no prazo estipulado.
watches_gifts,Ótima loja,"Produto deixa muito a desejar!
 Um relógio digital sem luz isso é impossível ao meu ver pelo menos para mim!"
sports_leisure,Gostei ,"Muito resistente, ainda não peguei chuva com ela , apesar de ser 45l ela é grande , muito boa mesmo "
baby,Produto não entregue ,Já passou há muito tempo do prazo estipulado e ainda não recebi o produto 
furniture_decor,Poderia melhorar,As peças vinheram desmontadas e algumas delas vinheram maiores dificultando a montagem das peças.
furniture_decor,.,Veio faltando uma pecinha pequena o puxador da tampinha dos potinhos.
furniture_decor,Bom,A lixeira serve só pra por contonete e algodão sujo muito pequeno 
furniture_decor,compra aprovada,"Minha esposa comprou um kit de madeira para colocar no quarto do nosso bebê que irá nascer em breve, compramos e depois de uma semana conforme o combinado, chegou o nosso kit estamos muito satisfeito."
furniture_decor,Excelente ,Veio antes do prazo de entrega. 
furniture_decor,Recomendo,Excelente produto. 
furniture_decor,Excelente,Excelente produto e entrega rápida! Satisfeita!
telephony,Ótimo produto! ,Atendimento nota 10.Produto excelente. 
computers_accessories,Ruim,Pedindo cancelamento na mesma hora da compra e insistiram em entregar. Neguei o recebimento do correio e devolvi.
drinks,Entrega perfeita e ágil!!,Muito bem embalado e dentro do prazo.
bed_bath_table,Paguei e não recebi ,Essa loja nunca mais
bed_bath_table,não compra,achei que o material era mais grosso e a cor que eu pedi veio diferente
bed_bath_table,recomendo!,"Veio antes do esperado, o produto não é como eu esperava, a malha é meio fina, mas pelo preço é aceitável"
telephony,Recomendo!,Chegou antes do previsto!
costruction_tools_garden,Decepção,Quase um mês e nada
pet_shop,Ótimo ,"Esta loja e excelente para fazer compras
"
office_furniture,Produto Ok,Produto entregue conforme anunciado. Bom custo beneficio!Recomendo!
construction_tools_construction,Como eu queria...,ótimo
toys,Ótimo! ,Boneca original em perfeito estado.
perfumery,Loção Muito boa,Ótima loção para o corpo!
perfumery,Recomendo,Chegou bem antes do prazo. 
health_beauty,Sastifeito,Produto chegou antes do prazo final é a qualidade conforme esperada..
sports_leisure,Excelente ,"Bom, estou satisfeito! "
music,Responsabilidade,Entrega no prazo e qualidade do produto ofertado.
housewares,Ótimo Produto,Gostei muito. Muito útil na cozinha!
housewares,Falta de um produto,"Boa noite, conforme informei anteriormente, a espátula inox nao foi entregue, gostaria de saber sobre.? Grato Jean "
bed_bath_table,Superou as expectativas,Muito bom!!!
luggage_accessories,Ótimo,-
bed_bath_table,Nota 10,"Tudo otimo,produto,entrega e suprte maravilhoso da lannister.Com"
health_beauty,Incrível,Super recomendo
health_beauty,recomendo,produto entregue antes do prazo previsto
health_beauty,Muito bom,A entrega até foi antes do previsto..gostei muito
health_beauty,Só recebi a nota fiscal ,O produto não veio
health_beauty,recomendo,"Foi entregue dentro do prazo estabelecido , mas, este prazo é muito longo."
food_drink,Excelente ,"Além de receber dentro do prazo estipulado, adorei a qualidade da embalagem do produto. Super segura! 
Parabéns! "
bed_bath_table,10,adoro vocês compro sempre.
electronics,Excelente ,Excelente 
consoles_games,Insatisfação ,Fiz uma compra q foi cancelada por vcs. Tentei por diversas vezes falar com vcs contudo não fui atendido. Não sei pq minha compra foi cancelada? Ninguém entrou em contato e não consigo ser atendido
consoles_games,Cuidado! Propag enganosa!,"Essa empresa fez uma promoção, descontou do meu cartao e depois não tinha o produto para enviar! Seu não fosse atras não saberia de nada...
Sai muito prejudicado nessa história!
Tenham cuidado!!!!"
books_technical,entrega rápida,produto chegou rapidinho e em perfeitas condições
sports_leisure,recomendo,Luva entregue de acordo com o pedido e entregue no prazo....
health_beauty,nao entregou ,nao entregou o pedido dentro do prazo ja solicitei cancelamento 
watches_gifts,Achei estranha a embalage,"Recebi o produto numa embalagem de papel, geralmente esses relógios vem numa embalagem de materiais duro etc, fiquei com medo de ser falsificado. "
watches_gifts,Avaliação positiva.,"O produto estava previsto para chegar em de de agosto e o recebi bem antes do prazo, na sexta feira dia 13."
watches_gifts,Comportamento correto,Entregou a mercadoria antes do prazo e em perfeitas condições.
watches_gifts,Nota 1000,"No prazo, como sempre!!!!!!!"
watches_gifts,Boa compra! ,Adorei o produto! Veio bem embalado! Recomendo a vendedor! Obrigada!
watches_gifts,Atraso de um dos produtis,"Recebi no dia 09/07/2018 apenas o relógio, a luminária não "
watches_gifts,Demora dms,Ainda espero o produto...
watches_gifts,super recomendo,"exelente, produto ótimo e entregue bem antes do prazo, dando total segurança para outras compras."
watches_gifts,Devolução ,"Solicitei a devolução e recebi um prazo para obter a reposta do cliente. 
O cliente simplesmente não respondeu. Fiz o pedido de devolução dentro do prazo de 7 dias conforme o codigo do consumidor."
watches_gifts,Eu recomendo a loja ,Chegou minha encomenda como pedi no prazo certo obrigada! 
watches_gifts,Muito bom,Perfeito
watches_gifts,Relógio vintage,"Foi um presente para minha filha ela amou Lindooo!!!
Entrega antes do prazo! 
Super recomendo!"
watches_gifts,ATRASO NA ENTREGA,ATRASO NA ENTREGA
watches_gifts,Boa Loja,Excelente loja
watches_gifts,Recomendo,Dentro do anunciado. Recomendo
watches_gifts,okok,okok
watches_gifts,Recomendoo,"Muito boa a loja, entrega antes do prazo."
watches_gifts,Entrega incompleta,"Fui buscar o pedido nos correios mas só constavam 2 itens , faltou um a ser entregue"
watches_gifts,recomendo,produto entregue antes do prazo
watches_gifts,Ótimo!,"Adorei o produto, tempo de entrega rápido."
watches_gifts,Super recomendo.,Excelente atendimento.
watches_gifts,Por enquanto está péssimo,"Não recebi o produto, vcs dizem que foi entregue dia 21 mas até agora nada, e não consigo contato com ninguém."
watches_gifts,Produto original ,"Produto entregue antes do prazo, o relógio é original e de ótima qualidade. Não veio na embalagem original da Casio, veio em uma caixinha de papelão escrito Casio e não veio com a garantia. Loja targaryen"
watches_gifts,Mais do que o esperado!,"Produto absolutamente bem embalado e na caixa. Pelo preço achei q seria uma réplica, mas não é. Levei em uma relojoaria e o profissional me assegurou ser uma peça original como as q ele msm fornece."
watches_gifts,Ótimo produto ,Excelente relógio perfeito 
watches_gifts,Safisfeita ,Estou muito satisfeita com a rapidez na entrega e pelo preço do produto 
watches_gifts,Não veio a garantia ,"Sem garantia, vou levar numa loja pra saber se é original "
watches_gifts,Recomento,"Minha namorado gostou demais, leve e bonito e fácil de ajustar."
watches_gifts,Produto falso,Me arrependi amargamente . Uma bosta
watches_gifts,Nota 10,"Entregaram bem antes do prazo 
Super recomendo "
watches_gifts,",","O produto chegou antes da data prevista. Estou feliz, com minha compra. É lindo! "
watches_gifts,super recomendado,Recebi no antes do prazo combinado. 
watches_gifts,Recomendo.,Apesar da demora na entrega. No mais foi tudo bem.
watches_gifts,Ótimo,Chegou no prazo e é bem bonito!
watches_gifts,Ótimo ,Gosto muito de comprar com o baratheon 
watches_gifts,Excelente ,"Fiquei com dúvidas por causa dos comentários, mas o produto chegou em ótimo estado na caixa"
watches_gifts,boa,Material chegou antes do dia marcado
watches_gifts,Muito bom,Produto entregue certo é na data prevista
watches_gifts,Excelente produto,"ótimo produto, combina com tudo! E chegou tudo certinho dentro do prazo."
watches_gifts,Ótimo produto,Excelente qualidade bonito e barato e entrega antes do prazo pode comprar sem medo 
watches_gifts,Gostei.,"O produto veio correto, perfeito e dentro do prazo."
watches_gifts,Excelenet,Produto bonito e o fornecedor entregou na data estabelecida. 
watches_gifts,Ótimo produto ,Rápido na entrega. Produto de boa qualidade
watches_gifts,PEDIDO NÃO ENTREGUE,"Mercadoria não foi entregue, quero que reveja com a targaryen"
watches_gifts,Ótimo,O produto atendeu as expectativas.
watches_gifts,Não entregou produto,"Sem comentário , não recebi o relógio Cassio ."
watches_gifts,Lindo relógio,Ótima lindo..
watches_gifts,Super recomendado,Excelente prestação de serviço.
watches_gifts,Recomendo ! ,"Produto venho em ótimo estado 
Perfeitamente lacrado 
Chegou bem antes do prazo ! Recomendo ! "
watches_gifts,Entrega antes do prazo ,Adorei meu relógio chegou antes do prazo e tudo certinho ..😍
watches_gifts,Entrega demorada,A encomenda demorou muito a chegar mas chegou em perfeito estado.
watches_gifts,Ótimo! ,Produto ótimo e entrega muito rápida! Vale a pena! 
watches_gifts,Amei!!!,"Amei meu relógio cassio, bem leve e nem precisa levar ele para diminuir a pulseira, ele tem uma trava que vc mesmo pode fazer issso."
watches_gifts,Perfeito ,"Amei!! Recomendaria, veio perfeito "
watches_gifts,Ótimo ,"O produto é muito bom, e a entrega foi muito antes do prazo.... "
watches_gifts,super recomendo,chegou no prazo e era oque eu realmente esperava
watches_gifts,Ótimo !!!!,ameiii dms... chegou muito antes da data prevista. 
watches_gifts,Não chegou,Nunca chegou o produto 
watches_gifts,Boa loja,"Boa loja, produto entregue no prazo."
watches_gifts,super recomendo,"entrega super rápida, loja muito confiável."
watches_gifts,Dez,Ótima entrega. E o relógio minha filha amouuu.
watches_gifts,Perfeito.,"Produto chegou antes do prazo estipulado. Ótima qualidade, excelente."
watches_gifts,Relógio Casio feminino,"Entrega dentro do prazo, tudo certinho!!"
watches_gifts,Relogio casio,Site seguro para compras..
watches_gifts,muito bom,"MUITO BOM, CHEGOU BEM RÁPIDO. RELÓGIO ORIGINAL DA CASSIO"
toys,Recomendo ,Excelente produto. Só houve muito atraso na entrega.
bed_bath_table,não recebi o produto cert,não veio o produto que eu comprei.
telephony,Atraso na entrega,Não há como avaliar o produto pois o mesmo ainda não foi entregue em minha residência.gostaria de saber o porquê do atraso é onde está meu produto agora.
telephony,Produto pirata,Comprei esse celular na targaryen.mas não é produto nacional e sim da china.quero o cancelamento aguardo o número de postagem é o estorno no cartão.targaryen nunca mais compro nada.
telephony,NÃO RECOMENDO,"A EMPRESA RECEBEU O DINHEIRO, NÃO CUMPRIU O PRAZO, E ALEGOU QUE TEVE QUE CANCELAR A VENDA PORQUE NÃO TINHA O PRODUTO EM ESTOQUE. AGORA, VAMOS VER SER VAI DEVOLVER O DINHEIRO RECEBIDO."
auto,10,Entregou antes do prazo previsto
consoles_games,Chegou antes ,"O produto chegou bem antes da data estimada ,,super amei ...."
telephony,Muito boa compra,"Boa qualidade, chegou mais de uma semana antes do prazo, até agora não deu qualquer problema."
telephony,Boa!,"Capinha e muito boa, mas a película e horrível. "
telephony,Excelente compra,Recomendo .. entrega rápida
furniture_decor,entrega ,muito rapido
toys,super recomendo,Muito satisfeito
sports_leisure,Recomendo a todos!,Ótimo produto!
auto,super recomendo,"ótimo atendimento, o prazo da entrega superou minhas expectativas, o produto chegou muito bem embalado sendo preservada toda a qualidade oferecida pelo fabricante ou seja sem defeitos ou quebradura."
electronics,Excelente.,"Recomendo a todos a compra de produtos na lannister, minha compra foi entregue a contento e no prazo."
sports_leisure,Ótimo produto!,"Ótimo produto, entrega muito rápida!"
sports_leisure,Recomendo,Muito bom a entrega. Site de confiança !!!
computers_accessories,Recomendo,"Apesar do frete caríssimo, foi tudo bem!"
computers_accessories,Recomendo.,"Entrega dentro do prazo, produto atendeu minhas expectativas. Recomendo."
baby,Mto lindo,"Boa qualidade,tdo mto bem feito embalado
Delicado e fora q o preço super compensa
Para a quantidade de coisas e material .."
housewares,ótimo,"O PRODUTO FOI ENTREGUE ANTES DO PRAZO LIMITE, ESTOU SATISFEITA. "
auto,Otimo,Muito bom o atendimento .excelentes 
electronics,Recomendo,Entrega antes do prazo previsto.
electronics,muito rápido e bom,Fiquei satisfeita
bed_bath_table,Falto Intem na entrega,"Boa tarde,
só foi entregue 1 produto, falto a Kit Colcha Patchwork Bouti Inter Home Solteiro Rozac.
Espero entregue, pois já foi pago."
furniture_decor,Super recomendo,entrega no prazo
health_beauty,Recomendo,"Recebi o produto corretamente, mas não pude avaliar sua eficácia."
auto,Ótimo produto ,Gostei do que comprei e ficou muito legal na moto
computers_accessories,Não recebi nada,"A lannister me pergunta insistentemente se recebi, não, não recebi nada ainda. Devo aguardar? Preciso de um posicionamento da lannister."
costruction_tools_garden,Produto entregue no prazo,"Entrega rapida, e produto em perfeito estado."
computers_accessories,recomendo,Produto entregue no prazo combinado
computers_accessories,Tudo OK,"Além do bom preço que a loja oferece, o produto chegou antes do prazo estipulado.

Recomendo!"
toys,Muito bom,Fui muito bem atendida estou satisfeita 
home_appliances_2,Super recomendo!,"Ótimo produto, veio perfeitamente embalado, atende todas necessidades que precisávamos. Loja muito atenciosa."
perfumery,excelente,Profissionalismo
